"","x"
"FcgRIIIa.V158.gp120.RSC3.delta3711",-0.735707571820315
"FcgRIIa.H131.HIV1.Rev",-0.164630694224231
"FcgRIIb.HIV1.Rev",-0.134887388060883
"IgG3.HIV1.Integrase",-0.0925313413354422
"FcgRIIIa.F158.gp120.RSC3",-0.0893676334399594
"MBL.IIIb.pr55.Gag",-0.0616682834670618
"FcgRIIa.H131.gp120.IIIb",-0.0608053169302596
"IgG1.HIV1.Rev",-0.0556355057438718
"MBL.gp120.ZM109F",-0.000959482085725667
"PNA.gp41.HXBc2",0.00285714086589593
"C1q.gp120.Du151",0.00632628440140718
"C1q.gp120.CN54",0.0510840393989268
"FcgRIIIb.gp120.YU2",0.0700387509984562
"C1q.SOSIP",0.0865179874952409
"C1q.gp120.BAL.Kif",0.0928150507308996
"FcgRIIIb.HIV1.Vif",0.101059821330417
"G0B",0.106664008251428
"G1",0.1399085478192
"FcgRIIa.R131.gp120.RSC3.delta3711",0.298382675016951
"C1q.gp41.MN",0.320232473369284
"FcgRIIIb.NA1.gp120.ZM109F",0.369129240332967
"FcgRIIIb.NA1.gp120.SF162",0.387226727622646
"B.total",0.453857300118505
"FcgRIIIb.gp120.SF162",0.822390503468206
"FcgRIIIb.gp41.HXBc2",1.54415046287786
