"","x"
"FcgRIIIa.V158.gp120.RSC3.delta3711",-0.588373940904232
"IgG1.HIV1.Rev",-0.414563736224261
"FcgRIIIa.gp120.ZM109F",-0.382413488989332
"FcgRI.IIIb.pr55.Gag",-0.364920780097337
"IgG3.HIV1.Integrase",-0.364635572152654
"FcgRIIa.H131.gp120.IIIb",-0.346932158444187
"IgG1.gp41.HXBc2",-0.273931862936524
"IgG3.gp120.IIIb",-0.191183860256141
"MBL.p24.HXBc2",-0.181451818981871
"SNA.p24.HXBc2",-0.149935474446432
"IgG2.HIV1.Integrase",-0.146910011768894
"FcgRI.gp140.CN54",-0.104853379617276
"IgG1.HIV1.Integrase",-0.0741107392446285
"FcgRIIIb.NA1.IIIb.pr55.Gag",-0.0512143860640073
"FcgRIIIb.SH.IIIb.pr55.Gag",-0.0452651278689921
"FcgRI.gp120.PVO",-0.0425802732952144
"MBL.gp120.ZM109F",-0.0419510364546991
"IgG2.gp120.JRCSF",-0.0296486060685545
"FcgRIIb.p24.HXBc2",-0.0228761058197234
"IgG2.gp120.BAL",-0.0224370681692364
"PNA.gp140.CN54",-0.0123754963078151
"FcgRIIIa.gp120.Du156.12",-0.0121552563965083
"FcgRIIIb.NA1.gp120.RSC3.delta3711",-0.0100210584044371
"FcgRI.gp120.TRO",-0.00776874683590141
"C1q.HIV1.Rev",0.000266511399630885
"FcgRIIIb.NA1.p51.HIV1.RT",0.000352151588318229
"FcgRIIIb.gp140.CN54",0.00460774821019089
"LCA.HIV1.Nef",0.00561454929515882
"IgG4.IIIb.pr55.Gag",0.0169663175664672
"FcgRIIIa.V158.6H.HIV1.p66",0.0252707455026844
"C1q.gp41.MN",0.0406458490866105
"IgG2.HIV1.Rev",0.0661152344624583
"FcgRIIIa.V158.p51.HIV1.RT",0.0730850775859835
"FcgRIIIb.NA1.gp120.ZM109F",0.0855033314328281
"FcgRIIIb.93TH975.gp120",0.113916549600849
"IgG2.p24.HXBc2",0.117085723027427
"FcgRIIIa.F158.IIIb.pr55.Gag",0.117205164535129
"FcgRIIa.R131.gp41.HXBc2",0.140325903090826
"C1q.gp120.CN54",0.142550242799908
"FcgRIIa.H131.gp41.HXBc2",0.1463971477387
"C1q.gp120.RSC3",0.160816344056942
"FcgRIIIb.NA1.gp120.MN",0.175067769117993
"FcgRIIb.IIIb.pr55.Gag",0.227678051723045
"FcgRIIIa.F158.gp120.CM",0.237028382112735
"FcgRIIIb.gp120.IIIb",0.241872463263202
"FcgRIIIb.gp120.MN",0.266318338850479
"FcgRIIIb.HIV1.Vif",0.379033993992566
"FcgRIIa.HIV1.Integrase",0.494472035137494
"FcgRIIa.R131.gp120.RSC3.delta3711",0.499825719559549
"FcgRIIIb.gp120.YU2",0.555757729293317
"FcgRIIIb.gp41.HXBc2",1.15658565956292
"FcgRIIIb.gp120.SF162",1.30456997770986
