"","x"
"C1q.SOSIP",-0.0727956111071668
"IgG4.HIV1.Rev",-0.054895424481978
"IgG2.IIIb.pr55.Gag",-0.0261795900098519
"IgG2.HIV1.Nef",-0.0123995879143146
"IgG4.HIV1.Nef",-0.0113731145767691
"FcgRIIa.R131.gp41.MN",-0.0076693084863027
"FcgRIIa.H131.gp120.RSC3.delta3711",-0.0065330697605909
"IgG2.Chiang.Mai.gp120",-0.00411741817558472
"FcgRIIIa.HIV1.Nef",-0.00364379895805264
"FcgRIIIa.F158.gp120.JRCSF",0.000381526020713652
"FcgRIIa.gp140.CN54",0.00170018873426144
"FcgRIIIa.gp120.YU2",0.00402578943370745
"IgG3.gp120.IIIb",0.00789443878360765
"FcgRIIIb.IIIb.pr55.Gag",0.00797718497982272
"FcgRIIb.gp120.IIIb",0.00876514635384075
"FcgRIIb.IIIb.pr55.Gag",0.0117344963795022
"FcgRIIIa.F158.p24.HXBc2",0.0239804280327688
"FcgRIIb.p24.HXBc2",0.0265817585681352
"SNA.HIV1.Integrase",0.0347033195419979
"FcgRIIIa.gp120.JRCSF",0.0360322333994181
"FcgRIIa.gp120.Du156.12",0.0433172084650818
"FcgRIIIa.p24.IIIb",0.0441033146225206
"FcgRIIIa.gp120.Du156.12",0.0446135480530932
"FcgRIIIa.gp120.TRO",0.0474633576460118
"IgG3.93TH975.gp120",0.0528328958050066
"FcgRI.gp120.JRCSF",0.0550653380129385
"FcgRI.HIV1.Vif",0.0554285787688088
"FcgRIIIa.V158.HIV1.p7",0.0589947664274849
"IgG3.Chiang.Mai.gp120",0.0612925412551335
"FcgRIIIa.gp120.PVO",0.0621217075834005
"C1q.gp140.UG21",0.0622388314674528
"FcgRIIIa.gp140.CN54",0.0724764434471271
"FcgRI.gp120.Du151",0.0857610035519526
"FcgRIIIb.SH.p24.HXBc2",0.0898884560700319
"PNA.HIV1.Nef",0.0950186861331701
"FcgRIIa.gp120.IIIb",0.0966977724279642
"C1q.p24.HXBc2",0.132108161738127
