"","x"
"IgG2.IIIb.pr55.Gag",-0.378725526983041
"MBL.gp120.BAL",-0.330269347892304
"MBL.HIV1.Integrase",-0.274416880852035
"LCA.HIV1.Integrase",-0.104622395909783
"IgG3.93TH975.gp120",-0.0820446203601423
"MBL.gp41.HXBc2",-0.0410848441497131
"C1q.6H.HIV1.p66",-0.00297484958630035
"FcgRIIa.R131.gp120.YU2",0.0159905416865347
"IgG2.gp120.JRCSF",0.0564009661783228
"FcgRIIb.HIV1.Integrase",0.113811910669187
"FcgRIIa.R131.HIV1.Gag",0.191469004864629
"FcgRIIa.R131.gp120.TRO",0.221857118854586
"IgG4.gp120.PVO",0.269415836475116
"FcgRIIb.gp120.YU2",0.384578371035592
"FcgRIIIa.HIV1.Integrase",0.411209619570636
"FcgRIIIb.gp120.TRO",0.558759242082089
"FcgRIIIb.SH.gp120.YU2",0.587424905873856
"FcgRIIIb.SOSIP",0.651507998871283
"FcgRIIIb.gp120.SF162",0.696840274489024
"FcgRIIIb.SH.gp120.PVO",1.10756112707047
"FcgRIIIb.gp120.PVO",1.27979679877086
