"","x"
"FcgRIIIa.F158.p24.IIIb",-0.66766662559131
"FcgRIIa.HIV1.Vif",-0.571629444818613
"FcgRIIIb.IIIb.pr55.Gag",-0.294445905289186
"C1q.p24.IIIb",-0.266280359883792
"C1q.p24.HXBc2",-0.262486717853428
"FcgRIIIb.NA1.gp120.JRCSF",-0.261244572224639
"LCA.gp120.BAL",-0.252186097043882
"C1q.SOSIP",-0.227907491682993
"VVL.HIV1.Integrase",-0.224909193152696
"FcgRIIb.gp120.MN",-0.217463937044886
"MBL.gp120.JRCSF",-0.204951620711837
"PNA.HIV1.Nef",-0.190314656082427
"SNA.HIV1.Nef",-0.184354431919744
"FcgRIIb.gp120.TRO",-0.177930962787351
"IgG2.IIIb.pr55.Gag",-0.172557419887088
"FcgRIIa.H131.gp120.BAL",-0.145361342854213
"IgG3.Chiang.Mai.gp120",-0.122496968032484
"FcgRIIIb.gp41.HXBc2",-0.112879254190741
"IgG1.IIIb.pr55.Gag",-0.101499075973612
"LCA.HIV1.Integrase",-0.0985906728404471
"FcgRIIIa.p24.IIIb",-0.0803440055968788
"C1q.HIV1.Vif",-0.0769801122180672
"MBL.gp120.BAL",-0.073529609318184
"FcgRIIa.H131.p24.HXBc2",-0.0705521540343291
"IgG3.93TH975.gp120",-0.0616275015953402
"IgG2.HIV1.Rev",-0.0600799775892603
"C1q.6H.HIV1.p66",-0.0290029652916933
"FcgRIIIb.gp120.ZM109F",-0.0163136066406483
"C1q.gp120.IIIb",-0.00576312976337469
"FcgRI.93TH975.gp120",-0.00451387000429067
"FcgRIIIb.NA1.p24.HXBc2",-0.000307920179010437
"FcgRIIa.H131.gp120.MN",-0.000201126737945183
"MBL.gp41.HXBc2",-6.59735276060873e-05
"C1q.gp140.HXBc2",0.00809724874907742
"IgG2.p24.IIIb",0.0146758619942956
"IgG4.gp41.HXBc2",0.0184698291295365
"LCA.HIV1.Rev",0.0189750911686687
"IgG1.gp41.HXBc2",0.0233160674527857
"FcgRIIa.R131.gp140.Du151",0.027022478536745
"IgG3.HIV1.Nef",0.0295029380735277
"IgG3.gp120.JRCSF",0.0399943447926357
"C1q.IIIb.pr55.Gag",0.0402798072099477
"IgG2.gp120.TRO",0.0416347796769224
"IgG2.SOSIP",0.054794751609317
"IgG4.HIV1.Nef",0.0602339078688599
"IgG4.gp140.CN54",0.0635243476278372
"IgG2.HIV1.Nef",0.0659235266564839
"IgG3.gp120.TRO",0.0821338210612449
"IgG3.HIV1.Vif",0.0895082119856231
"FcgRIIa.gp140.CN54",0.103012833403537
"FcgRI.HIV1.Nef",0.110656942125192
"FcgRIIIa.V158.IIIb.pr55.Gag",0.110753905381542
"IgG1.HIV1.Nef",0.149917417297043
"VVL.HIV1.Rev",0.181379193665613
"FcgRIIa.R131.gp140.UG21",0.181929634446243
"IgG3.IIIb.pr55.Gag",0.182957367165257
"FcgRIIIb.SH.gp120.BAL.Kif",0.185041095136581
"IgG4.IIIb.pr55.Gag",0.187561198831901
"IgG2.gp120.BAL",0.231172526456205
"PNA.gp140.CN54",0.262873895257621
"FcgRIIIb.SH.gp140.UG21",0.274288480392504
"PNA.HIV1.Rev",0.278687176516972
"IgG1.gp140.CN54",0.282288456729681
"C1q.gp120.RSC3",0.370305848840419
"FcgRIIa.gp120.SF162",0.38789515158372
"IgG2.gp140.Du151",0.442758242941133
"FcgRIIIa.SOSIP",0.656143326695804
