"","EC","TP","UP","VC"
"C1q.6H.HIV1.p66",NA,-0.504120296304134,NA,0.184596957082032
"C1q.gp120.CN54",NA,NA,0.309660249142545,NA
"C1q.gp120.IIIb",-0.194076345235146,0.0131092673511448,-0.0980572007185773,0.279024278602578
"C1q.gp120.RSC3",-0.139316267743069,NA,0.127568729496724,NA
"C1q.gp120.TRO",NA,NA,NA,0.0472792890352437
"C1q.gp120.ZM109F",-0.337855928034581,NA,NA,0.231264917247976
"C1q.gp140.UG21",NA,NA,0.0236381737204918,NA
"C1q.HIV1.Vif",NA,-0.112112843227287,NA,NA
"C1q.IIIb.pr55.Gag",-0.0410277067282696,0.237174613219864,NA,NA
"C1q.p24.HXBc2",0.319491784901656,NA,NA,NA
"C1q.p24.IIIb",0.067887156702387,NA,-0.254626922877722,0.0707799915982399
"C1q.SOSIP",NA,NA,NA,0.568375594948361
"FcgRI.gp140.CN54",NA,NA,0.482577636377713,NA
"FcgRI.HIV1.Integrase",NA,-0.0382396171857425,NA,NA
"FcgRI.HIV1.Nef",NA,NA,0.188296885695404,NA
"FcgRI.IIIb.pr55.Gag",NA,NA,NA,-0.0700793758037204
"FcgRI.p24.IIIb",NA,-0.0845795564714858,NA,NA
"FcgRIIa.gp120.JRCSF",NA,-0.0214676685953507,NA,NA
"FcgRIIa.gp120.SF162",-0.310174121205516,0.256137559445326,NA,NA
"FcgRIIa.gp41.HXBc2",NA,0.166393697987663,NA,NA
"FcgRIIa.H131.gp120.BAL",NA,NA,NA,0.109807362590504
"FcgRIIa.H131.gp120.JRCSF",NA,NA,NA,0.264392534932096
"FcgRIIa.H131.gp120.MN",NA,NA,NA,0.0163214999286756
"FcgRIIa.H131.gp120.RSC3.delta3711",NA,NA,-0.000150645569834486,NA
"FcgRIIa.H131.HIV1.Rev",NA,NA,NA,-0.0717096837883032
"FcgRIIa.H131.p24.IIIb",NA,NA,-0.0157403320642238,NA
"FcgRIIa.HIV1.Vif",NA,NA,-0.140059099201534,0.120978283047843
"FcgRIIa.p24.IIIb",NA,-0.0034659834438111,NA,NA
"FcgRIIa.R131.gp120.BAL.Kif",NA,0.131700476935251,NA,NA
"FcgRIIa.R131.gp120.PVO",NA,NA,0.0275794783372181,NA
"FcgRIIa.R131.gp120.RSC3.delta3711",NA,NA,NA,0.059919972076808
"FcgRIIa.R131.gp120.SF162",NA,0.345864667599991,NA,NA
"FcgRIIa.R131.gp140.CN54",NA,NA,NA,-0.000996222674548052
"FcgRIIa.R131.gp140.Du151",NA,NA,0.281448603203863,-0.204761833426002
