,EC
IgG1.IIIb.pr55.Gag,0.379
FcgRIIIa.Chiang.Mai.gp120,0.379
C1q.p24.HXBc2,0.319
FcgRIIb.HIV1.Vif,0.306
IgG3.HIV1.Integrase,0.256
FcgRIIa.R131.p24.HXBc2,0.241
FcgRIIIb.SH.p24.HXBc2,0.170
SNA.HIV1.Nef,0.167
FcgRIIIb.SH.IIIb.pr55.Gag,0.130
FcgRIIIb.IIIb.pr55.Gag,0.116
FcgRIIIb.SH.HIV1.p7,0.113
IgG4.HIV1.Rev,0.086
IgG3.93TH975.gp120,0.078
C1q.p24.IIIb,0.068
LCA.p24.HXBc2,0.040
FcgRIIIa.F158.IIIb.pr55.Gag,0.025
IgG1.gp120.SF162,-0.001
FcgRIIIa.V158.gp140.UG21,-0.015
VVL.gp140.CN54,-0.027
C1q.IIIb.pr55.Gag,-0.041
VVL.HIV1.Nef,-0.053
PNA.gp140.CN54,-0.076
MBL.HIV1.Vif,-0.111
SNA.gp41.HXBc2,-0.115
C1q.gp120.RSC3,-0.139
IgG1.gp140.CN54,-0.175
IgG3.HIV1.Nef,-0.188
MBL.93TH975.gp120,-0.188
C1q.gp120.IIIb,-0.194
LCA.gp41.HXBc2,-0.204
VVL.HIV1.Rev,-0.257
FcgRIIa.gp120.SF162,-0.310
VVL.p24.HXBc2,-0.336
C1q.gp120.ZM109F,-0.338
FcgRIIIa.SOSIP,-0.930
