"","x"
"S.total",-2.46905909235099
"G2S2B",-0.930815611445117
"G1FB",-0.875891448266649
"G1F",-0.865300657414872
"G0B",-0.532230498943195
"G2FB",-0.513813427439202
"G2B",-0.322423407746942
"G2S1B",-0.109853998416105
"G2S1F",-0.083648380748185
"G1B",0.0654302704688018
"G0FB",0.167317145511966
"G0.total",0.181177185181177
"G2S2FB",0.313581758042994
"G2F",0.422748572882408
"G2S1",0.558757887587128
"G2.total",0.615017300207504
"G1S1",0.638674260686915
"F.total",0.675449724432611
"G0F",0.86197913628164
"G1S1F",0.871681264177673
"G1",1.03223921354033
"G2S2F",1.03986424537905
"G2S2",1.14386725827695
