"","x"
"IgG.gp120.ZM109F",-2.69192889386851
"IgG.gp140.Du151",-2.33443671840978
"IgG.HIV1.Vif",-1.4050238673225
"IgG.gp140.CN54",-1.35113376859676
"IgG.IIIb.pr55.Gag",-1.33778933680434
"IgG.gp140.Clade.B",-1.18623023725357
"IgG.gp120.Du151",-0.56943009402284
"IgG.HIV1.Nef",-0.413410015324085
"IgG.93TH975.gp120",-0.0124907657715025
"IgG.Chiang.Mai.gp120",0.0188468831020845
"IgG.HIV1.Rev",0.231819822446108
"IgG.gp41.HXBc2",0.252354239800867
"IgG.p24.IIIb",0.744457058235292
"IgG.gp120.PVO",1.04737705966396
"IgG.SOSIP",1.31351593280415
"IgG.gp120.JRCSF",1.46712075276189
"IgG.gp120.YU2",2.81299730515194
"IgG.gp120.Du156.12",3.39664401154267
"IgG.gp120.SF162",4.28599762997419
